Country/Region,Date,Confirmed,Active,Recovered,Deaths,Latitude,Longitude
Philippines,2020-02-06,0.0,0.0,0.0,0.0,13.0,122.0
Thailand,2020-02-06,0.0,0.0,0.0,0.0,16.0,101.0
United Arab Emirates,2020-02-06,0.0,0.0,0.0,0.0,23.0,54.0
France,2020-02-06,0.0,0.0,0.0,0.0,47.0,2.0
Japan,2020-02-06,23.0,23.0,0.0,0.0,36.0,138.0
Germany,2020-02-06,0.0,0.0,0.0,0.0,51.0,9.0
US,2020-02-06,0.0,0.0,0.0,0.0,40.0,-90.0
United Kingdom,2020-02-06,0.0,0.0,0.0,0.0,55.0,0.0
Vietnam,2020-02-06,2.0,2.0,0.0,0.0,14.0,108.0
Cambodia,2020-02-06,0.0,0.0,0.0,0.0,12.0,105.0
India,2020-02-06,0.0,0.0,0.0,0.0,21.0,78.0
Hong Kong,2020-02-06,3.0,3.0,0.0,0.0,0.0,0.0
Australia,2020-02-06,1.0,1.0,0.0,0.0,-25.0,133.0
South Korea,2020-02-06,4.0,4.0,0.0,0.0,36.0,128.0
Belgium,2020-02-06,0.0,0.0,0.0,0.0,51.0,5.0
Finland,2020-02-06,0.0,0.0,0.0,0.0,62.0,26.0
Singapore,2020-02-06,0.0,0.0,0.0,0.0,1.0,104.0
Malaysia,2020-02-06,0.0,0.0,0.0,0.0,4.0,102.0
Sri Lanka,2020-02-06,0.0,0.0,0.0,0.0,8.0,81.0
Sweden,2020-02-06,0.0,0.0,0.0,0.0,63.0,16.0
Canada,2020-02-06,0.0,0.0,0.0,0.0,60.0,-110.0
Finland,2020-02-07,0.0,0.0,0.0,0.0,62.0,26.0
China,2020-02-07,3522.0,2915.0,522.0,85.0,35.0,103.0
Malaysia,2020-02-07,0.0,-1.0,1.0,0.0,4.0,102.0
Russia,2020-02-07,0.0,0.0,0.0,0.0,60.0,90.0
Hong Kong,2020-02-07,1.0,1.0,0.0,0.0,0.0,0.0
Sri Lanka,2020-02-07,0.0,0.0,0.0,0.0,8.0,81.0
Japan,2020-02-07,-20.0,-20.0,0.0,0.0,36.0,138.0
Italy,2020-02-07,1.0,1.0,0.0,0.0,43.0,12.0
Thailand,2020-02-07,0.0,0.0,0.0,0.0,16.0,101.0
France,2020-02-07,0.0,0.0,0.0,0.0,47.0,2.0
Cambodia,2020-02-07,0.0,0.0,0.0,0.0,12.0,105.0
Belgium,2020-02-07,0.0,0.0,0.0,0.0,51.0,5.0
Australia,2020-02-07,1.0,1.0,0.0,0.0,-25.0,133.0
Singapore,2020-02-07,2.0,2.0,0.0,0.0,1.0,104.0
Sweden,2020-02-07,0.0,0.0,0.0,0.0,63.0,16.0
Germany,2020-02-07,1.0,1.0,0.0,0.0,51.0,9.0
India,2020-02-07,0.0,0.0,0.0,0.0,21.0,78.0
US,2020-02-07,0.0,0.0,0.0,0.0,40.0,-90.0
Vietnam,2020-02-07,0.0,0.0,0.0,0.0,14.0,108.0
Canada,2020-02-07,2.0,2.0,0.0,0.0,60.0,-110.0
United Arab Emirates,2020-02-07,0.0,0.0,0.0,0.0,23.0,54.0
Others,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,2020-02-07,0.0,0.0,0.0,0.0,28.0,84.0
United Kingdom,2020-02-07,1.0,1.0,0.0,0.0,55.0,0.0
Spain,2020-02-07,0.0,0.0,0.0,0.0,40.0,-4.0
Philippines,2020-02-07,1.0,1.0,0.0,0.0,13.0,122.0
South Korea,2020-02-07,1.0,0.0,1.0,0.0,36.0,128.0
Taiwan,2020-02-07,0.0,0.0,0.0,0.0,24.0,121.0
Malaysia,2020-02-08,4.0,4.0,0.0,0.0,4.0,102.0
Cambodia,2020-02-08,0.0,0.0,0.0,0.0,12.0,105.0
Russia,2020-02-08,0.0,0.0,0.0,0.0,60.0,90.0
Nepal,2020-02-08,0.0,0.0,0.0,0.0,28.0,84.0
India,2020-02-08,0.0,0.0,0.0,0.0,21.0,78.0
Others,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,2020-02-08,3.0,1.0,2.0,0.0,1.0,104.0
Italy,2020-02-08,0.0,0.0,0.0,0.0,43.0,12.0
Spain,2020-02-08,0.0,0.0,0.0,0.0,40.0,-4.0
China,2020-02-08,2703.0,2019.0,597.0,87.0,35.0,103.0
Taiwan,2020-02-08,1.0,1.0,0.0,0.0,24.0,121.0
Australia,2020-02-08,0.0,0.0,0.0,0.0,-25.0,133.0
Sweden,2020-02-08,0.0,0.0,0.0,0.0,63.0,16.0
Germany,2020-02-08,0.0,0.0,0.0,0.0,51.0,9.0
Vietnam,2020-02-08,3.0,3.0,0.0,0.0,14.0,108.0
Canada,2020-02-08,0.0,0.0,0.0,0.0,60.0,-110.0
United Kingdom,2020-02-08,0.0,0.0,0.0,0.0,55.0,0.0
South Korea,2020-02-08,0.0,0.0,0.0,0.0,36.0,128.0
United Arab Emirates,2020-02-08,2.0,2.0,0.0,0.0,23.0,54.0
Philippines,2020-02-08,0.0,0.0,0.0,0.0,13.0,122.0
France,2020-02-08,5.0,5.0,0.0,0.0,47.0,2.0
Japan,2020-02-08,0.0,0.0,0.0,0.0,36.0,138.0
Belgium,2020-02-08,0.0,0.0,0.0,0.0,51.0,5.0
Sri Lanka,2020-02-08,0.0,-1.0,1.0,0.0,8.0,81.0
Finland,2020-02-08,0.0,0.0,0.0,0.0,62.0,26.0
Hong Kong,2020-02-08,1.0,1.0,0.0,0.0,0.0,0.0
US,2020-02-08,0.0,0.0,0.0,0.0,40.0,-90.0
Thailand,2020-02-08,7.0,2.0,5.0,0.0,16.0,101.0
South Korea,2020-02-09,1.0,-1.0,2.0,0.0,36.0,128.0
United Kingdom,2020-02-09,0.0,0.0,0.0,0.0,55.0,0.0
India,2020-02-09,0.0,0.0,0.0,0.0,21.0,78.0
Belgium,2020-02-09,0.0,0.0,0.0,0.0,51.0,5.0
Japan,2020-02-09,1.0,1.0,0.0,0.0,36.0,138.0
France,2020-02-09,0.0,0.0,0.0,0.0,47.0,2.0
Nepal,2020-02-09,0.0,0.0,0.0,0.0,28.0,84.0
Sweden,2020-02-09,0.0,0.0,0.0,0.0,63.0,16.0
Sri Lanka,2020-02-09,0.0,0.0,0.0,0.0,8.0,81.0
